window,vault_id,count,mean_s194,stddev_s194,latency,throughput
1719670420000 - 1719670425000,1000,260,22.203846153846154,2.3189819996698766,5000,1096.0
1719670420000 - 1719670425000,1001,264,18.265151515151516,1.8105743625981519,5000,1096.0
1719670420000 - 1719670425000,1002,291,22.649484536082475,2.448260075548999,5000,1096.0
1719670420000 - 1719670425000,1003,267,18.149812734082396,2.192947062485563,5000,1096.0
1719670420000 - 1719670425000,1004,262,19.713740458015266,2.837541763724762,5000,1096.0
1719670420000 - 1719670425000,1005,262,21.31297709923664,2.732568541050091,5000,1096.0
1719670420000 - 1719670425000,1006,250,22.728,3.897437106612498,5000,1096.0
1719670420000 - 1719670425000,1007,286,25.874125874125873,4.722905252714027,5000,1096.0
1719670420000 - 1719670425000,1008,268,29.45149253731343,4.100586690361294,5000,1096.0
1719670420000 - 1719670425000,1009,260,27.726923076923075,3.3337502204790894,5000,1096.0
1719670420000 - 1719670425000,1010,265,22.09811320754717,2.694122923477452,5000,1096.0
1719670420000 - 1719670425000,1011,246,26.378048780487806,6.670479030900667,5000,1096.0
1719670420000 - 1719670425000,1012,263,30.315589353612168,7.465206005080483,5000,1096.0
1719670420000 - 1719670425000,1013,234,26.641025641025642,3.9698899605011517,5000,1096.0
1719670420000 - 1719670425000,1014,268,26.003731343283583,5.343079031772211,5000,1096.0
1719670420000 - 1719670425000,1015,255,26.298039215686273,4.046469785374941,5000,1096.0
1719670420000 - 1719670425000,1016,250,26.824,4.853969921620858,5000,1096.0
1719670420000 - 1719670425000,1017,259,28.08880308880309,5.370790990599139,5000,1096.0
1719670420000 - 1719670425000,1018,256,27.1484375,3.930231075724906,5000,1096.0
1719670420000 - 1719670425000,1019,246,27.79268292682927,4.941292262624005,5000,1096.0
1719670420000 - 1719670425000,1020,268,26.496268656716417,5.543247966434102,5000,1096.0
1719670425000 - 1719670430000,1000,57,22.07017543859649,2.3310237877477484,5001,199.6
1719670425000 - 1719670430000,1001,52,18.423076923076923,1.9840339040813741,5001,199.6
1719670425000 - 1719670430000,1002,41,22.024390243902438,2.300453877571043,5001,199.6
