window,vault_id,count,mean_s194,stddev_s194,latency,throughput
1719670425000 - 1719670430000,1000,317,22.179810725552052,2.3217194138677457,5001,1296.8
1719670425000 - 1719670430000,1001,316,18.29113924050633,1.8411739426086813,5001,1296.8
1719670425000 - 1719670430000,1002,332,22.572289156626507,2.439178868993142,5001,1296.8
1719670425000 - 1719670430000,1003,305,18.236065573770492,2.2272553709674514,5001,1296.8
1719670425000 - 1719670430000,1004,308,19.7012987012987,2.8137645673808005,5001,1296.8
1719670425000 - 1719670430000,1005,307,21.257328990228014,2.7327611943207963,5001,1296.8
1719670425000 - 1719670430000,1006,309,22.57281553398058,3.8447255723250375,5001,1296.8
1719670425000 - 1719670430000,1007,321,25.822429906542055,4.738283962103057,5001,1296.8
1719670425000 - 1719670430000,1008,317,29.533123028391167,4.122303040808419,5001,1296.8
1719670425000 - 1719670430000,1009,297,27.64983164983165,3.340186133436527,5001,1296.8
1719670425000 - 1719670430000,1010,317,22.082018927444796,2.738824443236922,5001,1296.8
1719670425000 - 1719670430000,1011,283,26.374558303886925,6.562635647539818,5001,1296.8
1719670425000 - 1719670430000,1012,315,30.16190476190476,7.532099110261543,5001,1296.8
1719670425000 - 1719670430000,1013,289,26.737024221453286,4.089827806981952,5001,1296.8
1719670425000 - 1719670430000,1014,318,25.965408805031448,5.14830969905723,5001,1296.8
1719670425000 - 1719670430000,1015,294,26.156462585034014,4.064447951021061,5001,1296.8
1719670425000 - 1719670430000,1016,301,26.627906976744185,4.774073663045416,5001,1296.8
1719670425000 - 1719670430000,1017,304,28.14144736842105,5.4231829855351865,5001,1296.8
1719670425000 - 1719670430000,1018,310,27.10322580645161,3.887405957453338,5001,1296.8
1719670425000 - 1719670430000,1019,306,27.76143790849673,5.016829509219544,5001,1296.8
1719670425000 - 1719670430000,1020,318,26.569182389937108,5.609958011541817,5001,1296.8
1719670430000 - 1719670435000,1000,49,22.244897959183675,2.5114481735371688,5000,189.2
1719670430000 - 1719670435000,1001,41,18.024390243902438,1.4564876709105967,5000,189.2
1719670430000 - 1719670435000,1002,40,22.775,2.6219029348928995,5000,189.2
1719670430000 - 1719670435000,1003,47,18.93617021276596,2.823942131580776,5000,189.2
1719670430000 - 1719670435000,1004,38,19.92105263157895,2.2287780337094376,5000,189.2
1719670430000 - 1719670435000,1005,42,21.452380952380953,2.8635840093639313,5000,189.2
1719670430000 - 1719670435000,1006,52,23.48076923076923,4.106703640743925,5000,189.2
1719670430000 - 1719670435000,1007,41,26.048780487804876,3.975235655000846,5000,189.2
1719670430000 - 1719670435000,1008,45,29.6,4.3328204824725125,5000,189.2
1719670430000 - 1719670435000,1009,40,27.85,3.1108680460604563,5000,189.2
1719670430000 - 1719670435000,1010,46,21.608695652173914,2.7463672517136968,5000,189.2
1719670430000 - 1719670435000,1011,56,26.375,7.239678613624463,5000,189.2
1719670430000 - 1719670435000,1012,46,32.28260869565217,8.039746490374531,5000,189.2
1719670430000 - 1719670435000,1013,43,26.25581395348837,3.9596395375983753,5000,189.2
1719670430000 - 1719670435000,1014,37,27.16216216216216,6.5657321425944595,5000,189.2
1719670430000 - 1719670435000,1015,47,24.93617021276596,3.6635307659627037,5000,189.2
1719670430000 - 1719670435000,1016,49,26.26530612244898,5.259686924042353,5000,189.2
1719670430000 - 1719670435000,1017,47,29.76595744680851,6.494556692838018,5000,189.2
1719670430000 - 1719670435000,1018,52,27.692307692307693,3.692708311599525,5000,189.2
1719670430000 - 1719670435000,1019,44,28.045454545454547,5.61635009857399,5000,189.2
1719670430000 - 1719670435000,1020,44,26.90909090909091,5.26056591242884,5000,189.2
1719670435000 - 1719670440000,1000,52,22.096153846153847,2.4827064588764305,5000,213.8
1719670435000 - 1719670440000,1001,47,17.80851063829787,1.6326234972979472,5000,213.8
1719670435000 - 1719670440000,1002,48,22.1875,2.4719783743660324,5000,213.8
1719670435000 - 1719670440000,1003,49,18.3265306122449,2.469303422408845,5000,213.8
