window,latency,throughput,vault_id1,failures1,model_serial_list1,...,vault_id10,failures10,model_serial_list10
1719670435000,5000,0.8,1047,1,[ST4000DM000, Z304NT6A],1145,1,[HGST HUH721212ALE604, 8HGXNP2H],1099,1,[ST12000NM001G, ZTN0AGRW],1055,1,[ST8000NM0055, ZA1814BV], , , , , , , , , , , , , , , , , , , , , , , , 
1719670440000,5000,0.2,1106,1,[TOSHIBA MG07ACA14TA, 70K0A08ZF97G],1047,1,[ST4000DM000, Z304NT6A],1145,1,[HGST HUH721212ALE604, 8HGXNP2H],1099,1,[ST12000NM001G, ZTN0AGRW],1055,1,[ST8000NM0055, ZA1814BV], , , , , , , , , , , , , , , , , , , , 
1719670445000,5000,0.2,1106,1,[TOSHIBA MG07ACA14TA, 70K0A08ZF97G],1047,1,[ST4000DM000, Z304NT6A],1145,1,[HGST HUH721212ALE604, 8HGXNP2H],1099,1,[ST12000NM001G, ZTN0AGRW],1118,1,[HGST HUH721212ALN604, AAG68EWH],1055,1,[ST8000NM0055, ZA1814BV], , , , , , , , , , , , , , , , 
1719670455000,5000,0.2,1106,1,[TOSHIBA MG07ACA14TA, 70K0A08ZF97G],1047,1,[ST4000DM000, Z304NT6A],1145,1,[HGST HUH721212ALE604, 8HGXNP2H],1099,1,[ST12000NM001G, ZTN0AGRW],1118,1,[HGST HUH721212ALN604, AAG68EWH],1055,1,[ST8000NM0055, ZA1814BV], , , , , , , , , , , , , , , , 
1719670465000,5000,0.4,1106,1,[TOSHIBA MG07ACA14TA, 70K0A08ZF97G],1047,1,[ST4000DM000, Z304NT6A],1145,1,[HGST HUH721212ALE604, 8HGXNP2H],1099,1,[ST12000NM001G, ZTN0AGRW],1118,1,[HGST HUH721212ALN604, AAG68EWH],1055,1,[ST8000NM0055, ZA1814BV], , , , , , , , , , , , , , , , 
1719670470000,5001,0.2,1106,1,[TOSHIBA MG07ACA14TA, 70K0A08ZF97G],1047,1,[ST4000DM000, Z304NT6A],1145,1,[HGST HUH721212ALE604, 8HGXNP2H],1099,1,[ST12000NM001G, ZTN0AGRW],1118,1,[HGST HUH721212ALN604, AAG68EWH],1055,1,[ST8000NM0055, ZA1814BV], , , , , , , , , , , , , , , , 
1719670475000,5000,0.2,1106,1,[TOSHIBA MG07ACA14TA, 70K0A08ZF97G],1047,1,[ST4000DM000, Z304NT6A],1145,1,[HGST HUH721212ALE604, 8HGXNP2H],1099,1,[ST12000NM001G, ZTN0AGRW],1118,1,[HGST HUH721212ALN604, AAG68EWH],1055,1,[ST8000NM0055, ZA1814BV], , , , , , , , , , , , , , , , 
1719670480000,5001,0.2,1106,1,[TOSHIBA MG07ACA14TA, 70K0A08ZF97G],1047,1,[ST4000DM000, Z304NT6A],1145,1,[HGST HUH721212ALE604, 8HGXNP2H],1099,1,[ST12000NM001G, ZTN0AGRW],1118,1,[HGST HUH721212ALN604, AAG68EWH],1055,1,[ST8000NM0055, ZA1814BV], , , , , , , , , , , , , , , , 
1719670500000,5000,0.4,1106,1,[TOSHIBA MG07ACA14TA, 70K0A08ZF97G],1047,1,[ST4000DM000, Z304NT6A],1145,1,[HGST HUH721212ALE604, 8HGXNP2H],1099,1,[ST12000NM001G, ZTN0AGRW],1118,1,[HGST HUH721212ALN604, AAG68EWH],1055,1,[ST8000NM0055, ZA1814BV], , , , , , , , , , , , , , , , 
1719670505000,5000,0.2,1106,1,[TOSHIBA MG07ACA14TA, 70K0A08ZF97G],1047,1,[ST4000DM000, Z304NT6A],1145,1,[HGST HUH721212ALE604, 8HGXNP2H],1099,1,[ST12000NM001G, ZTN0AGRW],1118,1,[HGST HUH721212ALN604, AAG68EWH],1055,1,[ST8000NM0055, ZA1814BV], , , , , , , , , , , , , , , , 
1719670520000,5000,0.4,1106,1,[TOSHIBA MG07ACA14TA, 70K0A08ZF97G],1047,1,[ST4000DM000, Z304NT6A],1145,1,[HGST HUH721212ALE604, 8HGXNP2H],1099,1,[ST12000NM001G, ZTN0AGRW],1118,1,[HGST HUH721212ALN604, AAG68EWH],1055,1,[ST8000NM0055, ZA1814BV], , , , , , , , , , , , , , , , 
1719670530000,5000,0.4,1106,1,[TOSHIBA MG07ACA14TA, 70K0A08ZF97G],1047,1,[ST4000DM000, Z304NT6A],1145,1,[HGST HUH721212ALE604, 8HGXNP2H],1099,1,[ST12000NM001G, ZTN0AGRW],1118,1,[HGST HUH721212ALN604, AAG68EWH],1055,1,[ST8000NM0055, ZA1814BV], , , , , , , , , , , , , , , , 
