window,latency,throughput,vault_id1,failures1,model_serial_list1,...,vault_id10,failures10,model_serial_list10
1719670870000,5000,0.6,1128,1,[ST12000NM0007, ZJV3BXCY],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1118,1,[HGST HUH721212ALN604, AAG6LEMH], , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1719670875000,5000,0.2,1120,1,[HGST HUH721212ALN604, AAG765VH],1128,1,[ST12000NM0007, ZJV3BXCY],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1118,1,[HGST HUH721212ALN604, AAG6LEMH], , , , , , , , , , , , , , , , , , , , , , , , 
1719670880000,5000,0.2,1120,1,[HGST HUH721212ALN604, AAG765VH],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1118,1,[HGST HUH721212ALN604, AAG6LEMH], , , , , , , , , , , , , , , , , , , , 
1719670885000,5000,0.4,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1118,1,[HGST HUH721212ALN604, AAG6LEMH], , , , , , , , , , , , 
1719670900000,5000,0.2,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1118,1,[HGST HUH721212ALN604, AAG6LEMH], , , , , , , , 
1719670905000,5000,0.2,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH], , , , 
1719670910000,5000,0.2,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719670915000,5000,0.2,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719670920000,5000,0.4,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719670925000,5000,0.2,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719670930000,5001,0.2,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
