window,latency,throughput,vault_id1,failures1,model_serial_list1,...,vault_id10,failures10,model_serial_list10
1719670915000,5000,0.2,1132,1,[ST12000NM0008, ZHZ1SPKY], , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1719670920000,5000,0.4,1043,1,[ST8000NM0055, ZA1551YJ],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1132,1,[ST12000NM0008, ZHZ1SPKY], , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1719670925000,5000,0.2,1043,1,[ST8000NM0055, ZA1551YJ],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1132,1,[ST12000NM0008, ZHZ1SPKY], , , , , , , , , , , , , , , , , , , , , , , , 
1719670930000,5001,0.2,1043,1,[ST8000NM0055, ZA1551YJ],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1132,1,[ST12000NM0008, ZHZ1SPKY], , , , , , , , , , , , , , , , , , , , 
1719670940000,5000,0.2,1043,1,[ST8000NM0055, ZA1551YJ],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1132,1,[ST12000NM0008, ZHZ1SPKY], , , , , , , , , , , , , , , , 
1719670945000,5000,0.6,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1043,1,[ST8000NM0055, ZA1551YJ],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1035,1,[ST8000DM002, ZA12EH4Y],1132,1,[ST12000NM0008, ZHZ1SPKY],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDGRGJ], , , , 
1719670955000,5000,0.4,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y],1132,1,[ST12000NM0008, ZHZ1SPKY]
1719670970000,5001,0.2,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719670975000,5000,0.2,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719670980000,5000,0.2,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719670985000,5000,0.8,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719670990000,5000,0.8,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
