window,latency,throughput,vault_id1,failures1,model_serial_list1,...,vault_id10,failures10,model_serial_list10
1719671165000,5001,0.6,1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9], , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1719671170000,5000,0.2,1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J], , , , , , , , , , , , , , , , , , , , , , , , 
1719671180000,5000,0.2,1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1118,1,[HGST HUH721212ALN604, AAG6TK8H], , , , , , , , , , , , , , , , , , , , 
1719671190000,5000,0.2,1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J], , , , , , , , , , , , , , , , , , , , 
1719671195000,5000,0.2,1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J], , , , , , , , , , , , , , , , 
1719671200000,5001,0.2,1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1054,1,[ST8000NM0055, ZA180YXL], , , , , , , , , , , , 
1719671210000,5000,0.2,1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1113,1,[HGST HUH721212ALN604, 8HJY7GDH],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1054,1,[ST8000NM0055, ZA180YXL], , , , , , , , 
1719671215000,5000,0.2,1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1113,1,[HGST HUH721212ALN604, 8HJY7GDH],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671220000,5001,0.2,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671235000,5001,0.2,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671245000,5000,0.6,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671250000,4998,0.4,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671260000,5000,0.4,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671265000,5000,0.8,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671270000,5000,0.2,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671280000,4999,0.2,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671285000,5000,0.4,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671290000,5000,0.2,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671295000,5000,0.4,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
