window,latency,throughput,vault_id1,failures1,model_serial_list1,...,vault_id10,failures10,model_serial_list10
1719671245000,5000,0.6,1013,1,[ST4000DM000, Z304KC50],1034,1,[ST8000DM002, ZA11RWRL],1053,1,[ST8000NM0055, ZA173SWF], , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1719671250000,4998,0.4,1155,1,[ST14000NM0138, ZHZ39PR7],1013,1,[ST4000DM000, Z304KC50],1093,1,[ST10000NM0086, ZA21CGKT],1034,1,[ST8000DM002, ZA11RWRL],1053,1,[ST8000NM0055, ZA173SWF], , , , , , , , , , , , , , , , , , , , 
1719671260000,5000,0.4,1136,1,[ST12000NM0008, ZHZ3M0YF],1155,1,[ST14000NM0138, ZHZ39PR7],1013,1,[ST4000DM000, Z304KC50],1093,1,[ST10000NM0086, ZA21CGKT],1126,1,[HGST HUH721212ALN604, AAG7BSKH],1034,1,[ST8000DM002, ZA11RWRL],1053,1,[ST8000NM0055, ZA173SWF], , , , , , , , , , , , 
1719671265000,5000,0.8,1053,2,[ST8000NM0055, ZA173SWF], [TOSHIBA MQ01ABF050M, 177QT3EKT],1136,1,[ST12000NM0008, ZHZ3M0YF],1120,1,[HGST HUH721212ALN604, 8HKTJULH],1122,1,[HGST HUH721212ALN604, 2AGMTL0Y],1155,1,[ST14000NM0138, ZHZ39PR7],1060,1,[HGST HUH721212ALE604, 5PHLAAND],1013,1,[ST4000DM000, Z304KC50],1093,1,[ST10000NM0086, ZA21CGKT],1126,1,[HGST HUH721212ALN604, AAG7BSKH],1034,1,[ST8000DM002, ZA11RWRL]
1719671270000,5000,0.2,1053,2,[ST8000NM0055, ZA173SWF], [TOSHIBA MQ01ABF050M, 177QT3EKT],1136,1,[ST12000NM0008, ZHZ3M0YF],1120,1,[HGST HUH721212ALN604, 8HKTJULH],1122,1,[HGST HUH721212ALN604, 2AGMTL0Y],1155,1,[ST14000NM0138, ZHZ39PR7],1060,1,[HGST HUH721212ALE604, 5PHLAAND],1013,1,[ST4000DM000, Z304KC50],1093,1,[ST10000NM0086, ZA21CGKT],1126,1,[HGST HUH721212ALN604, AAG7BSKH],1034,1,[ST8000DM002, ZA11RWRL]
1719671280000,4999,0.2,1053,2,[ST8000NM0055, ZA173SWF], [TOSHIBA MQ01ABF050M, 177QT3EKT],1136,1,[ST12000NM0008, ZHZ3M0YF],1120,1,[HGST HUH721212ALN604, 8HKTJULH],1122,1,[HGST HUH721212ALN604, 2AGMTL0Y],1155,1,[ST14000NM0138, ZHZ39PR7],1060,1,[HGST HUH721212ALE604, 5PHLAAND],1044,1,[ST8000NM0055, ZA180R71],1013,1,[ST4000DM000, Z304KC50],1093,1,[ST10000NM0086, ZA21CGKT],1126,1,[HGST HUH721212ALN604, AAG7BSKH]
1719671285000,5000,0.4,1066,2,[TOSHIBA MG07ACA14TA, 88R0A07KF97G], [TOSHIBA MG07ACA14TA, 88X0A06MF97G],1053,2,[ST8000NM0055, ZA173SWF], [TOSHIBA MQ01ABF050M, 177QT3EKT],1120,1,[HGST HUH721212ALN604, 8HKTJULH],1122,1,[HGST HUH721212ALN604, 2AGMTL0Y],1155,1,[ST14000NM0138, ZHZ39PR7],1060,1,[HGST HUH721212ALE604, 5PHLAAND],1093,1,[ST10000NM0086, ZA21CGKT],1126,1,[HGST HUH721212ALN604, AAG7BSKH],1034,1,[ST8000DM002, ZA11RWRL],1039,1,[TOSHIBA HDWF180, Y76GK0LZFZ1D]
1719671290000,5000,0.2,1066,2,[TOSHIBA MG07ACA14TA, 88R0A07KF97G], [TOSHIBA MG07ACA14TA, 88X0A06MF97G],1053,2,[ST8000NM0055, ZA173SWF], [TOSHIBA MQ01ABF050M, 177QT3EKT],1120,1,[HGST HUH721212ALN604, 8HKTJULH],1122,1,[HGST HUH721212ALN604, 2AGMTL0Y],1155,1,[ST14000NM0138, ZHZ39PR7],1060,1,[HGST HUH721212ALE604, 5PHLAAND],1093,1,[ST10000NM0086, ZA21CGKT],1126,1,[HGST HUH721212ALN604, AAG7BSKH],1034,1,[ST8000DM002, ZA11RWRL],1039,1,[TOSHIBA HDWF180, Y76GK0LZFZ1D]
1719671295000,5000,0.4,1066,2,[TOSHIBA MG07ACA14TA, 88R0A07KF97G], [TOSHIBA MG07ACA14TA, 88X0A06MF97G],1113,2,[HGST HUH721212ALN604, 8HK3HDNH], [HGST HUH721212ALN604, 8HJZE7BH],1053,2,[ST8000NM0055, ZA173SWF], [TOSHIBA MQ01ABF050M, 177QT3EKT],1120,1,[HGST HUH721212ALN604, 8HKTJULH],1122,1,[HGST HUH721212ALN604, 2AGMTL0Y],1155,1,[ST14000NM0138, ZHZ39PR7],1060,1,[HGST HUH721212ALE604, 5PHLAAND],1093,1,[ST10000NM0086, ZA21CGKT],1126,1,[HGST HUH721212ALN604, AAG7BSKH],1034,1,[ST8000DM002, ZA11RWRL]
1719671300000,5001,0.8,1066,2,[TOSHIBA MG07ACA14TA, 88R0A07KF97G], [TOSHIBA MG07ACA14TA, 88X0A06MF97G],1113,2,[HGST HUH721212ALN604, 8HK3HDNH], [HGST HUH721212ALN604, 8HJZE7BH],1053,2,[ST8000NM0055, ZA173SWF], [TOSHIBA MQ01ABF050M, 177QT3EKT],1120,1,[HGST HUH721212ALN604, 8HKTJULH],1122,1,[HGST HUH721212ALN604, 2AGMTL0Y],1155,1,[ST14000NM0138, ZHZ39PR7],1060,1,[HGST HUH721212ALE604, 5PHLAAND],1093,1,[ST10000NM0086, ZA21CGKT],1126,1,[HGST HUH721212ALN604, AAG7BSKH],1034,1,[ST8000DM002, ZA11RWRL]
1719671305000,5000,0.6,1066,2,[TOSHIBA MG07ACA14TA, 88R0A07KF97G], [TOSHIBA MG07ACA14TA, 88X0A06MF97G],1113,2,[HGST HUH721212ALN604, 8HK3HDNH], [HGST HUH721212ALN604, 8HJZE7BH],1053,2,[ST8000NM0055, ZA173SWF], [TOSHIBA MQ01ABF050M, 177QT3EKT],1120,1,[HGST HUH721212ALN604, 8HKTJULH],1122,1,[HGST HUH721212ALN604, 2AGMTL0Y],1155,1,[ST14000NM0138, ZHZ39PR7],1060,1,[HGST HUH721212ALE604, 5PHLAAND],1093,1,[ST10000NM0086, ZA21CGKT],1126,1,[HGST HUH721212ALN604, AAG7BSKH],1034,1,[ST8000DM002, ZA11RWRL]
1719671310000,4999,0.2,1066,2,[TOSHIBA MG07ACA14TA, 88R0A07KF97G], [TOSHIBA MG07ACA14TA, 88X0A06MF97G],1113,2,[HGST HUH721212ALN604, 8HK3HDNH], [HGST HUH721212ALN604, 8HJZE7BH],1053,2,[ST8000NM0055, ZA173SWF], [TOSHIBA MQ01ABF050M, 177QT3EKT],1120,1,[HGST HUH721212ALN604, 8HKTJULH],1122,1,[HGST HUH721212ALN604, 2AGMTL0Y],1155,1,[ST14000NM0138, ZHZ39PR7],1060,1,[HGST HUH721212ALE604, 5PHLAAND],1093,1,[ST10000NM0086, ZA21CGKT],1126,1,[HGST HUH721212ALN604, AAG7BSKH],1034,1,[ST8000DM002, ZA11RWRL]
1719671315000,5000,0.2,1066,2,[TOSHIBA MG07ACA14TA, 88R0A07KF97G], [TOSHIBA MG07ACA14TA, 88X0A06MF97G],1113,2,[HGST HUH721212ALN604, 8HK3HDNH], [HGST HUH721212ALN604, 8HJZE7BH],1053,2,[ST8000NM0055, ZA173SWF], [TOSHIBA MQ01ABF050M, 177QT3EKT],1120,1,[HGST HUH721212ALN604, 8HKTJULH],1122,1,[HGST HUH721212ALN604, 2AGMTL0Y],1155,1,[ST14000NM0138, ZHZ39PR7],1060,1,[HGST HUH721212ALE604, 5PHLAAND],1093,1,[ST10000NM0086, ZA21CGKT],1126,1,[HGST HUH721212ALN604, AAG7BSKH],1034,1,[ST8000DM002, ZA11RWRL]
1719671320000,5001,0.2,1066,2,[TOSHIBA MG07ACA14TA, 88R0A07KF97G], [TOSHIBA MG07ACA14TA, 88X0A06MF97G],1113,2,[HGST HUH721212ALN604, 8HK3HDNH], [HGST HUH721212ALN604, 8HJZE7BH],1053,2,[ST8000NM0055, ZA173SWF], [TOSHIBA MQ01ABF050M, 177QT3EKT],1120,1,[HGST HUH721212ALN604, 8HKTJULH],1122,1,[HGST HUH721212ALN604, 2AGMTL0Y],1155,1,[ST14000NM0138, ZHZ39PR7],1060,1,[HGST HUH721212ALE604, 5PHLAAND],1093,1,[ST10000NM0086, ZA21CGKT],1126,1,[HGST HUH721212ALN604, AAG7BSKH],1034,1,[ST8000DM002, ZA11RWRL]
1719671330000,5000,0.2,1066,2,[TOSHIBA MG07ACA14TA, 88R0A07KF97G], [TOSHIBA MG07ACA14TA, 88X0A06MF97G],1113,2,[HGST HUH721212ALN604, 8HK3HDNH], [HGST HUH721212ALN604, 8HJZE7BH],1053,2,[ST8000NM0055, ZA173SWF], [TOSHIBA MQ01ABF050M, 177QT3EKT],1120,1,[HGST HUH721212ALN604, 8HKTJULH],1122,1,[HGST HUH721212ALN604, 2AGMTL0Y],1155,1,[ST14000NM0138, ZHZ39PR7],1060,1,[HGST HUH721212ALE604, 5PHLAAND],1093,1,[ST10000NM0086, ZA21CGKT],1126,1,[HGST HUH721212ALN604, AAG7BSKH],1034,1,[ST8000DM002, ZA11RWRL]
1719671340000,5000,0.2,1066,2,[TOSHIBA MG07ACA14TA, 88R0A07KF97G], [TOSHIBA MG07ACA14TA, 88X0A06MF97G],1113,2,[HGST HUH721212ALN604, 8HK3HDNH], [HGST HUH721212ALN604, 8HJZE7BH],1053,2,[ST8000NM0055, ZA173SWF], [TOSHIBA MQ01ABF050M, 177QT3EKT],1120,1,[HGST HUH721212ALN604, 8HKTJULH],1122,1,[HGST HUH721212ALN604, 2AGMTL0Y],1155,1,[ST14000NM0138, ZHZ39PR7],1060,1,[HGST HUH721212ALE604, 5PHLAAND],1093,1,[ST10000NM0086, ZA21CGKT],1126,1,[HGST HUH721212ALN604, AAG7BSKH],1034,1,[ST8000DM002, ZA11RWRL]
1719671345000,5000,0.2,1066,2,[TOSHIBA MG07ACA14TA, 88R0A07KF97G], [TOSHIBA MG07ACA14TA, 88X0A06MF97G],1113,2,[HGST HUH721212ALN604, 8HK3HDNH], [HGST HUH721212ALN604, 8HJZE7BH],1053,2,[ST8000NM0055, ZA173SWF], [TOSHIBA MQ01ABF050M, 177QT3EKT],1120,1,[HGST HUH721212ALN604, 8HKTJULH],1122,1,[HGST HUH721212ALN604, 2AGMTL0Y],1155,1,[ST14000NM0138, ZHZ39PR7],1060,1,[HGST HUH721212ALE604, 5PHLAAND],1093,1,[ST10000NM0086, ZA21CGKT],1126,1,[HGST HUH721212ALN604, AAG7BSKH],1034,1,[ST8000DM002, ZA11RWRL]
1719671350000,5000,0.4,1066,2,[TOSHIBA MG07ACA14TA, 88R0A07KF97G], [TOSHIBA MG07ACA14TA, 88X0A06MF97G],1113,2,[HGST HUH721212ALN604, 8HK3HDNH], [HGST HUH721212ALN604, 8HJZE7BH],1053,2,[ST8000NM0055, ZA173SWF], [TOSHIBA MQ01ABF050M, 177QT3EKT],1120,1,[HGST HUH721212ALN604, 8HKTJULH],1122,1,[HGST HUH721212ALN604, 2AGMTL0Y],1155,1,[ST14000NM0138, ZHZ39PR7],1060,1,[HGST HUH721212ALE604, 5PHLAAND],1093,1,[ST10000NM0086, ZA21CGKT],1126,1,[HGST HUH721212ALN604, AAG7BSKH],1034,1,[ST8000DM002, ZA11RWRL]
1719671360000,5000,0.6,1066,2,[TOSHIBA MG07ACA14TA, 88R0A07KF97G], [TOSHIBA MG07ACA14TA, 88X0A06MF97G],1113,2,[HGST HUH721212ALN604, 8HK3HDNH], [HGST HUH721212ALN604, 8HJZE7BH],1053,2,[ST8000NM0055, ZA173SWF], [TOSHIBA MQ01ABF050M, 177QT3EKT],1120,1,[HGST HUH721212ALN604, 8HKTJULH],1122,1,[HGST HUH721212ALN604, 2AGMTL0Y],1155,1,[ST14000NM0138, ZHZ39PR7],1060,1,[HGST HUH721212ALE604, 5PHLAAND],1093,1,[ST10000NM0086, ZA21CGKT],1126,1,[HGST HUH721212ALN604, AAG7BSKH],1034,1,[ST8000DM002, ZA11RWRL]
