window,latency,throughput,vault_id1,failures1,model_serial_list1,...,vault_id10,failures10,model_serial_list10
1719671420000,5000,0.2,1064,1,[ST12000NM0008, ZHZ3W4Y8], , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1719671425000,5000,0.2,1064,1,[ST12000NM0008, ZHZ3W4Y8],1113,1,[HGST HUH721212ALN604, 8HJY395H], , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1719671430000,5001,0.2,1064,1,[ST12000NM0008, ZHZ3W4Y8],1113,1,[HGST HUH721212ALN604, 8HJY395H],1135,1,[ST12000NM0008, ZHZ50QW3], , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1719671435000,5001,0.2,1064,1,[ST12000NM0008, ZHZ3W4Y8],1113,1,[HGST HUH721212ALN604, 8HJY395H],1098,1,[ST12000NM0008, ZL0052SL],1135,1,[ST12000NM0008, ZHZ50QW3], , , , , , , , , , , , , , , , , , , , , , , , 
1719671440000,5000,0.4,1064,1,[ST12000NM0008, ZHZ3W4Y8],1113,1,[HGST HUH721212ALN604, 8HJY395H],1098,1,[ST12000NM0008, ZL0052SL],1132,1,[ST12000NM0008, ZHZ3KD5C],1037,1,[ST8000DM002, ZA13ZKVQ],1135,1,[ST12000NM0008, ZHZ50QW3], , , , , , , , , , , , , , , , 
1719671445000,5000,0.2,1113,2,[HGST HUH721212ALN604, 8HJY395H], [HGST HUH721212ALN604, 8HKHPJGH],1064,1,[ST12000NM0008, ZHZ3W4Y8],1098,1,[ST12000NM0008, ZL0052SL],1132,1,[ST12000NM0008, ZHZ3KD5C],1037,1,[ST8000DM002, ZA13ZKVQ],1135,1,[ST12000NM0008, ZHZ50QW3], , , , , , , , , , , , , , , , 
1719671455000,5000,0.6,1113,2,[HGST HUH721212ALN604, 8HJY395H], [HGST HUH721212ALN604, 8HKHPJGH],1089,1,[TOSHIBA MG07ACA14TA, 61A0A0KDF97G],1123,1,[HGST HUH721212ALN604, AAG305ZH],1064,1,[ST12000NM0008, ZHZ3W4Y8],1032,1,[ST8000DM002, ZA12QCR2],1098,1,[ST12000NM0008, ZL0052SL],1132,1,[ST12000NM0008, ZHZ3KD5C],1037,1,[ST8000DM002, ZA13ZKVQ],1135,1,[ST12000NM0008, ZHZ50QW3], , , , 
1719671460000,4999,0.4,1113,2,[HGST HUH721212ALN604, 8HJY395H], [HGST HUH721212ALN604, 8HKHPJGH],1132,2,[ST12000NM0008, ZHZ3KD5C], [ST12000NM0008, ZHZ3NALE],1089,1,[TOSHIBA MG07ACA14TA, 61A0A0KDF97G],1106,1,[TOSHIBA MG07ACA14TA, 70F0A0SRF97G],1123,1,[HGST HUH721212ALN604, AAG305ZH],1064,1,[ST12000NM0008, ZHZ3W4Y8],1032,1,[ST8000DM002, ZA12QCR2],1098,1,[ST12000NM0008, ZL0052SL],1037,1,[ST8000DM002, ZA13ZKVQ],1135,1,[ST12000NM0008, ZHZ50QW3]
1719671470000,5000,0.2,1113,2,[HGST HUH721212ALN604, 8HJY395H], [HGST HUH721212ALN604, 8HKHPJGH],1132,2,[ST12000NM0008, ZHZ3KD5C], [ST12000NM0008, ZHZ3NALE],1120,1,[HGST HUH721212ALN604, AAG6HZ5H],1089,1,[TOSHIBA MG07ACA14TA, 61A0A0KDF97G],1106,1,[TOSHIBA MG07ACA14TA, 70F0A0SRF97G],1123,1,[HGST HUH721212ALN604, AAG305ZH],1064,1,[ST12000NM0008, ZHZ3W4Y8],1032,1,[ST8000DM002, ZA12QCR2],1098,1,[ST12000NM0008, ZL0052SL],1037,1,[ST8000DM002, ZA13ZKVQ]
1719671475000,5001,0.6,1132,2,[ST12000NM0008, ZHZ3KD5C], [ST12000NM0008, ZHZ3NALE],1113,2,[HGST HUH721212ALN604, 8HJY395H], [HGST HUH721212ALN604, 8HKHPJGH],1120,1,[HGST HUH721212ALN604, AAG6HZ5H],1089,1,[TOSHIBA MG07ACA14TA, 61A0A0KDF97G],1123,1,[HGST HUH721212ALN604, AAG305ZH],1125,1,[HGST HUH721212ALN604, AAHEHPJH],1158,1,[WDC WUH721414ALE6L4, X0GG5HWC],1064,1,[ST12000NM0008, ZHZ3W4Y8],1032,1,[ST8000DM002, ZA12QCR2],1098,1,[ST12000NM0008, ZL0052SL]
1719671480000,5001,0.4,1132,2,[ST12000NM0008, ZHZ3KD5C], [ST12000NM0008, ZHZ3NALE],1113,2,[HGST HUH721212ALN604, 8HJY395H], [HGST HUH721212ALN604, 8HKHPJGH],1120,1,[HGST HUH721212ALN604, AAG6HZ5H],1089,1,[TOSHIBA MG07ACA14TA, 61A0A0KDF97G],1123,1,[HGST HUH721212ALN604, AAG305ZH],1125,1,[HGST HUH721212ALN604, AAHEHPJH],1158,1,[WDC WUH721414ALE6L4, X0GG5HWC],1064,1,[ST12000NM0008, ZHZ3W4Y8],1032,1,[ST8000DM002, ZA12QCR2],1098,1,[ST12000NM0008, ZL0052SL]
1719671490000,4999,0.4,1132,2,[ST12000NM0008, ZHZ3KD5C], [ST12000NM0008, ZHZ3NALE],1113,2,[HGST HUH721212ALN604, 8HJY395H], [HGST HUH721212ALN604, 8HKHPJGH],1120,1,[HGST HUH721212ALN604, AAG6HZ5H],1089,1,[TOSHIBA MG07ACA14TA, 61A0A0KDF97G],1123,1,[HGST HUH721212ALN604, AAG305ZH],1125,1,[HGST HUH721212ALN604, AAHEHPJH],1158,1,[WDC WUH721414ALE6L4, X0GG5HWC],1064,1,[ST12000NM0008, ZHZ3W4Y8],1032,1,[ST8000DM002, ZA12QCR2],1098,1,[ST12000NM0008, ZL0052SL]
1719671500000,5000,0.4,1132,2,[ST12000NM0008, ZHZ3KD5C], [ST12000NM0008, ZHZ3NALE],1113,2,[HGST HUH721212ALN604, 8HJY395H], [HGST HUH721212ALN604, 8HKHPJGH],1120,1,[HGST HUH721212ALN604, AAG6HZ5H],1089,1,[TOSHIBA MG07ACA14TA, 61A0A0KDF97G],1123,1,[HGST HUH721212ALN604, AAG305ZH],1125,1,[HGST HUH721212ALN604, AAHEHPJH],1158,1,[WDC WUH721414ALE6L4, X0GG5HWC],1064,1,[ST12000NM0008, ZHZ3W4Y8],1032,1,[ST8000DM002, ZA12QCR2],1098,1,[ST12000NM0008, ZL0052SL]
1719671505000,5001,0.2,1132,2,[ST12000NM0008, ZHZ3KD5C], [ST12000NM0008, ZHZ3NALE],1113,2,[HGST HUH721212ALN604, 8HJY395H], [HGST HUH721212ALN604, 8HKHPJGH],1120,1,[HGST HUH721212ALN604, AAG6HZ5H],1089,1,[TOSHIBA MG07ACA14TA, 61A0A0KDF97G],1123,1,[HGST HUH721212ALN604, AAG305ZH],1125,1,[HGST HUH721212ALN604, AAHEHPJH],1158,1,[WDC WUH721414ALE6L4, X0GG5HWC],1064,1,[ST12000NM0008, ZHZ3W4Y8],1032,1,[ST8000DM002, ZA12QCR2],1098,1,[ST12000NM0008, ZL0052SL]
1719671510000,5000,0.2,1132,2,[ST12000NM0008, ZHZ3KD5C], [ST12000NM0008, ZHZ3NALE],1113,2,[HGST HUH721212ALN604, 8HJY395H], [HGST HUH721212ALN604, 8HKHPJGH],1120,1,[HGST HUH721212ALN604, AAG6HZ5H],1089,1,[TOSHIBA MG07ACA14TA, 61A0A0KDF97G],1123,1,[HGST HUH721212ALN604, AAG305ZH],1125,1,[HGST HUH721212ALN604, AAHEHPJH],1158,1,[WDC WUH721414ALE6L4, X0GG5HWC],1064,1,[ST12000NM0008, ZHZ3W4Y8],1032,1,[ST8000DM002, ZA12QCR2],1098,1,[ST12000NM0008, ZL0052SL]
1719671520000,5000,0.2,1132,2,[ST12000NM0008, ZHZ3KD5C], [ST12000NM0008, ZHZ3NALE],1113,2,[HGST HUH721212ALN604, 8HJY395H], [HGST HUH721212ALN604, 8HKHPJGH],1120,1,[HGST HUH721212ALN604, AAG6HZ5H],1089,1,[TOSHIBA MG07ACA14TA, 61A0A0KDF97G],1123,1,[HGST HUH721212ALN604, AAG305ZH],1125,1,[HGST HUH721212ALN604, AAHEHPJH],1158,1,[WDC WUH721414ALE6L4, X0GG5HWC],1064,1,[ST12000NM0008, ZHZ3W4Y8],1032,1,[ST8000DM002, ZA12QCR2],1098,1,[ST12000NM0008, ZL0052SL]
1719671525000,5001,0.4,1132,2,[ST12000NM0008, ZHZ3KD5C], [ST12000NM0008, ZHZ3NALE],1113,2,[HGST HUH721212ALN604, 8HJY395H], [HGST HUH721212ALN604, 8HKHPJGH],1120,1,[HGST HUH721212ALN604, AAG6HZ5H],1089,1,[TOSHIBA MG07ACA14TA, 61A0A0KDF97G],1123,1,[HGST HUH721212ALN604, AAG305ZH],1125,1,[HGST HUH721212ALN604, AAHEHPJH],1158,1,[WDC WUH721414ALE6L4, X0GG5HWC],1064,1,[ST12000NM0008, ZHZ3W4Y8],1032,1,[ST8000DM002, ZA12QCR2],1098,1,[ST12000NM0008, ZL0052SL]
1719671530000,5000,0.2,1132,2,[ST12000NM0008, ZHZ3KD5C], [ST12000NM0008, ZHZ3NALE],1113,2,[HGST HUH721212ALN604, 8HJY395H], [HGST HUH721212ALN604, 8HKHPJGH],1120,1,[HGST HUH721212ALN604, AAG6HZ5H],1089,1,[TOSHIBA MG07ACA14TA, 61A0A0KDF97G],1123,1,[HGST HUH721212ALN604, AAG305ZH],1125,1,[HGST HUH721212ALN604, AAHEHPJH],1158,1,[WDC WUH721414ALE6L4, X0GG5HWC],1064,1,[ST12000NM0008, ZHZ3W4Y8],1032,1,[ST8000DM002, ZA12QCR2],1098,1,[ST12000NM0008, ZL0052SL]
